geo	2016	2017	2018	2019	2020
UKD4	15.5	16.0	14.0	13.6	
UKD6	12.2	14.1	13.2	13.6	
UKD7	13.5	12.5	12.4	13.0	
UKE1	13.0	13.7	14.5	13.9	
UKE2	15.9	14.3	14.4	15.2	
UKE3	16.1	16.6	18.1	18.7	
UKE4	13.4	14.0	13.7	12.3	
UKF1	13.2	14.3	14.6	16.0	
UKF2	14.4	13.1	13.8	13.7	
UKF3	14.2	14.3	17.3	13.7	
UKG1	12.7	12.8	14.8	13.9	
UKG2	14.1	12.3	14.2	16.5	
UKG3	10.6	11.3	12.8	11.4	
UKH1	14.4	12.9	14.2	14.2	
UKH2	12.5	13.2	13.4	13.8	
UKH3	14.4	13.5	12.3	12.1	
UKI3	18.0	16.2	17.4	19.6	
UKI4	18.3	17.2	17.5	17.9	
UKI5	13.7	15.7	15.9	13.4	
UKI6	16.1	15.4	16.7	16.4	
UKI7	14.1	13.8	12.3	13.5	
UKJ1	13.8	15.3	14.9	15.3	
UKJ2	15.6	16.6	15.2	15.9	
UKJ3	16.0	17.4	17.8	17.6	
UKJ4	15.9	14.7	14.2	14.6	
UKK1	16.3	16.7	16.5	17.2	
UKK2	14.5	15.0	14.1	16.7	
UKK3	12.0	14.6	16.0	16.9	
UKK4	18.8	18.3	18.9	17.4	
UKL1	15.0	14.0	15.5	15.3	
UKL2	17.5	14.0	14.2	16.3	
UKM5	15.2	12.6	11.7	15.2	
UKM6	13.4	13.9	13.2	14.4	
UKM7	14.6	14.7	15.8	15.9	
UKM8	13.9	14.6	13.0	13.5	
UKM9	12.9	12.7	12.6	13.7	
UKN0	10.0	9.7	10.6	10.9	
