geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
ITF5	11562.09	11500.7	11807.8	11390.16	12367.81	12322.56	12448.48	13066.99	12871.55
ITF6	33276.96	32709.18	32097.05	31844.42	32118.61	32666.6	33342.94	33276.04	33488.18
ITG1	88279.14	87921.74	86559.95	84812.65	86154.39	86697.56	88443.52	88652.46	89471.04
ITG2	33322.27	33346.77	32453.48	32510.85	33735.31	33487.13	34123.62	34695.65	35406.38
ITH1	20728.87	21599.75	21874.32	22144.03	22620.1	23097.72	23954.3	24990.07	25735.85
ITH2	18859.09	18884.59	19375.6	19384.64	19333.75	19657.05	20063.29	20885.7	21446.49
ITH3	148113.33	145472.24	145522.41	147834.5	150835.81	155761.76	159951.7	163005.64	165959.91
ITH4	35685.84	34547.66	34859.2	35078.44	36076.43	36556.63	37388.13	38497.91	39319.4
ITH5	143928.63	141966.07	143074.7	145927.56	148780.48	153170.79	157583.36	161177.73	162571.55
ITI1	108102.62	107566.48	106707.54	108725.23	109850.44	112284.25	114675.42	117431.53	121793.04
ITI2	22427.2	21810.98	21452.99	21061.5	21638.94	21744.99	22264.3	22939.39	23069.86
ITI3	40101.89	39243.68	38722.87	39638.75	39890.41	40630.63	41526.18	42233.76	42882.61
ITI4	191721.43	186655.11	184287.17	184996.56	185551.06	193396.16	196334.97	199257.86	201717.89
ITZZ	1565.06	1630.92	1823.73	1493.96	1280.3	1254.73	1468.27	1556.68	1233.2
LT01	11914.97	12907.36	13846	14640.35	15091.89	15830.18	17193.93	18994.08	20750.39
LT02	19402.2	20502.8	21193.54	21940.96	22253.81	23059.69	25082.37	26520.72	28109.48
LU00	44323.47	46526.24	49094.49	51791.32	54142.3	56208.07	58168.78	60362.21	62704.17
LV00	19635.98	22064.39	22763.38	23591.08	24535.68	25336.74	26947.67	29113.96	30605.71
LVZZ	30.03	33.12	27.92	34.72	36.45	34.59	36.76	39.6	41.51
ME00	3264.8	3181.5	3362.5	3457.9	3654.5	3954.2	4299.1	4663.1	4950.7
MK00	7544.16	7584.76	8149.57	8562.05	9072.3	9656.47	10038.31	10743.98	11209.06
MT00	6910.62	7350.14	7929.46	8735.74	9981.21	10485.19	11933.51	12948.81	14036.06
MTZZ	13.97	14.32	14.89	15.36	15.5	16.15	17.25	19.02	20.31
NL11	26024.22	27089.11	27919.3	26144.49	24958.03	23459.71	24035.61	24557.25	24848.33
NL12	18203.74	18128.36	18068.5	18333.12	18208.38	18429.68	19100.62	19989.08	21205.64
NL13	13791.82	13906.26	13957.43	13981.63	13848.28	13916.27	14423.37	15166.14	15716.94
NL21	36714.93	35938.15	36283.34	37108.16	37913.85	39497.11	41182.54	43503.75	45727.61
NL22	66299.76	65303.68	65765.91	67403.17	68832.42	71082.08	74524.67	78192.99	82080.47
NL23	11590.86	11621	11508.31	11792	12123.36	12629.75	13232.86	13836.36	14535.98
NL31	59540.37	59769.71	60623.76	61711.47	63145.29	64514.47	68226.23	71922.93	76995.51
NL32	130946.86	131496.69	135055.27	140768.95	146560.64	152850.18	159336.6	168862.39	179531.33
NL33	140214.66	142136.55	142384.89	143220.62	148116.63	151492.25	155893.38	162089.48	169015.98
NL34	11806.18	11685.15	11712.31	11964.11	12363.43	12630.86	12945	13791.66	14237.66
NL41	94094.3	94516.56	94943.59	97521.62	101630.4	104696.69	110427.45	115560.78	121243.84
NL42	36658.33	36351.84	36967.41	37430.16	38976.36	40972.2	42599.55	44277.03	46139.21
NLZZ	4472.96	5021.83	5271.87	4181.61	3329.81	2165.77	2219.24	2237.15	1776.48
NO02	15242.38	16490.18	16513.62	16338.18	16227.75	16340.87	16864.43	17159.68	17263.2
NO06	20733.19	23271.15	23664.34	23149.35	22996.34	23343.72	24587.91	25180.13	25368.74
NO07	21729.67	23625.82	24199.93	24037.36	23289.63	24632.11	25417.65	26040.3	26059.22
NOZZ	85513.47	93364.46	86210.22	74610.39	53952.89	41768.9	53643.62	65907.49	50174
PL21	29259.34	29759.43	30277.63	31812.8	34007.82	34022.34	37644.76	40527.57	43319.47
PL22	48956.97	49251.57	48784.7	50680.32	53242.14	52531.7	57348.61	61136.16	64461.38
PL41	35703.51	36801.53	37801.05	39533.54	42195.42	42148.9	46251.97	48853.61	52675.44
PL42	14283.61	14577.76	14656.6	15364.88	16253.97	15942.33	17316.07	18362.59	19559.95
PL43	8403.41	8582.1	8707	9183.22	9545.24	9510.61	10217.97	10828.28	11432.33
PL51	32706.1	33279.26	33183.01	34557.63	36261.93	35774.25	39021.47	41227.37	44126.2
PL52	8185.78	8238.59	8277.29	8669.48	9035.58	8803.15	9561.04	10173.23	10827.29
PL61	16897.13	17163.67	17515.78	18104.85	19080.51	18911.47	20495.59	21892.14	22956.77
PL62	10342.21	10490.17	10600.14	11039.98	11482.3	11428.55	12261.78	12794.47	13565.08
PL63	21584.78	22506.03	22515.99	23264.41	24807.11	24887.12	27256.4	29321.39	31660.32
PL71	23172	23755.14	23989.63	25029.21	26184.15	25843.11	28072.74	29797.39	32176.69
PL72	9621.93	9632.34	9479.94	9863.09	10225.4	9997.55	10875.97	11658.6	12267.64
PL81	14943.14	15333.86	15613.78	16038.01	16509.34	16418.38	17947.32	18648.83	20038.21
PL82	14748.98	15000.87	15442.97	16062.28	16919.06	16697.26	18085.07	19491.22	20902.9
PL84	8692.02	8694.9	8933.13	9257.92	9533.12	9406.06	10390.5	10996.06	11836.23
PL91	62269.52	64364.43	66075.69	69204.79	72523.87	72337.93	80174.75	86344.52	93798.12
PL92	20090.08	20515.66	20456.34	21302.2	22658.86	22431.12	24504.3	25789.15	27995.9
PT11	49832.69	48345.47	49397.69	50782.14	52770.63	55077.73	57652.65	60909.74	63524.58
PT15	7377.78	7164.79	7244.39	7508.84	7880.99	8507.83	9223.7	9729.59	10239.8
PT16	32669.91	31554.76	31999.34	32438.39	33923.55	35246.15	36823.21	38474.43	40027.7
PT17	66343.85	62528.74	62955.03	63145.81	64897.1	66942.3	70359.44	73602.66	77439.68
PT18	11532.99	10946.68	10952.63	11165.24	11952.33	12124.42	12845.39	13097.45	13373.23
PT20	3722.27	3569.44	3652.81	3685.83	3824.28	3973.06	4110.58	4284.64	4487.27
PT30	4440.13	4062.75	4143.44	4202.3	4313.16	4477.62	4783.57	4940.38	5126.38
PTZZ	176.55	122.95	146.94	125.14	151.13	140.7	148.67	145.25	155.97
RO11	14365.44	15041.43	16130.81	17279.47	18336.37	19975.82	22942.15	24637.09	27343.69
RO12	14594.31	15054.63	15871.05	16549.97	17662.18	19187.79	21192.39	23245.65	25073.25
RO21	13309.24	13698.62	14762.63	15259.45	16099.33	17139.97	19438.39	21212.71	23053.69
RO22	14517.94	14408.88	16217.61	17036.85	17149.52	17769.48	19236.53	20998.65	21933.74
RO31	17198.71	15800.75	17539.48	19664.17	19505.66	20839.53	22084.23	24108.46	25522.27
RO32	34808.94	35378.19	38520.65	39929.61	44325.38	46221.13	51020.57	55179.25	61716.92
RO41	9917.11	10371.41	10872.68	10987.67	11757.36	12319.95	13996.31	15758.38	17225.36
