geo	2013	2014	2015	2016	2017	2018	2019
SK03	37382	35147	32978	29529	26618	24450	23727
SK04	41222	38165	35532	33274	31751	30237	29713
SKZZ	0	0	0	0	0	0	0
TR10	478668	553091	662408	777345			1021933
TR21	73457	79799	85871	94991			94039
TR22	77183	77505	82510	88891			92427
TR31	143347	147073	162134	175119			169929
TR32	102680	106585	124575	137394			146723
TR33	131755	138324	152614	169734			168382
TR41	2350882	2592201	2790437	3007471			3496847
TR42	178009	191660	211939	231656			225721
TR51	260592	255010	276649	289520			302183
TR52	101262	112429	120915	135886			142027
TR61	119156	126893	146362	165245			191905
TR62	83391	88919	94662	104918			107502
TR63	62419	67837	73008	81189			82149
TR71	83205	91133	101309	113482			125468
TR72	98764	109880	116401	129686			140445
TR81	50760	65111	76851	88071			102289
TR82	26972	31491	37011	43233			53735
TR83	84657	92709	103602	113056			118933
TR90	116413	126127	135806	148152			152289
TRA1	89626	134633	182328	234582			433469
TRA2	27418	30239	35035	38034			44364
TRB1	74135	80392	90427	98219			104654
TRB2	36226	38831	44183	47601			45206
TRC1	58460	68217	77716	86825			83111
TRC2	47004	45512	50432	55452			55031
TRC3	17277	20920	27701	30885			39741
TRZZ							
