NUTS,Air_passengers,Hospital_beds,Death_rate,Compensation_of_employees,Deaths,Early_leavers_from_ed.,Employment_worked_hrs.,Farm_labour_force,Health_personnel,Respiratory_discharges,Life_expectancy,Longterm_care_beds,Gross_domestic_product,Ed._participation,Population_density,Population,Pupils_enrolled,GVA_growth,Vehicles,Tertiary_ed._students,Unemployment_rate,Utilised_agricultural_area,NEET_rate,Cases_density_1,Cases_density_2,Country,Latitude,Longitude
FI19,667,333.02,1044.96,24284.21,14275,8.1,994183.02,19320,NA,NA,82.3,78,52966.94,25.6,23.7,1378652,94257,106.2,1185530,78986,7.7,791180,10.5,5.229746157841137e-4,0.0055510745278721536,FI,23.7142,62.3222
FI1B,22049,274.76,728.54,43118.33,12367,8,1452428.95,3360,NA,NA,82.4,111.19,94961.07,30.8,184.7,1689725,113557,111,1072690,91651,7.2,181470,7.6,0.003263844708458477,0.014897690452588439,FI,24.7512,60.3817
FI20,52,392.14,910.96,719.57,266,8.225,28751.89,560,NA,NA,83.9,66.25,1358.82,25.4,19.2,29884,1978,94.7,30918,521,7.8500000000000005,19550,9.35,5.688662829607817e-4,0.003781287645562843,FI,20.0931,60.2653
FR10,107991,534.57,613.93,382297.39,75788,5.9,9742156.29,8290,47481,120593,82.41538461538461,180.78,742569.25,12.7,1026.8,12291557,831044,107.3,6334433,713715,8.2,571640,9.8,0.002465269452844745,0.002789638448570836,FR,2.5234,48.7196
FRM0,4249,596.41,929.07,5250.68,3216,6.9,199292.65,4110,1038,3146,84,176.85,9780.82,7.5,39.6,345867,16787,109.2,249281,5603,8.1,159000,18.8,7.401689088580292e-4,0.0010264061040804703,FR,9.0976,42.1267
HR03,7692,524.77,1225.69,7882.59,16658,1.4,1017609.69,36690,4504,11247,79.9,460.71,17546.29,3.0999999999999996,56,1373802,52844,108.8,713705,49566,7.5,467420,9.4,0.0019187626746794662,0.05286132936187311,HR,15.5424,44.4289
ITC1,3997,346.77,1213.45,55097.7,53137,12,3296619.7,55530,15758,44617,83.3,131.19,137781.87,7,172.3,4311217,198720,105,3345362,131326,7.5,948580,16.6,0.007473527776495592,0.04776516700504753,IT,7.9189,45.0634
ITC2,NA,359.01,1147.43,1714,1392,11.86,109158.8,0,461,1553,83.6,906.48,4868.04,7.5,38.6,125034,5789,101.5,271983,1154,5.8,0,14.7,0.009749348177295775,0.053889342098949085,IT,7.3925,45.7281
ITC3,1539,351.56,1416.52,18559.1,21354,10.7,1141935.5,11740,6956,20107,83.5,198.78,49740.73,8.7,284.3,1524826,64847,101,953358,34415,8.3,37330,15.4,0.006926036151010017,0.04259240070670359,IT,8.1521,44.1573
ITC4,49096,350.53,982.92,157914.2,99983,11.9,8286969.6,52530,36969,105664,84.2,144.36,398779.09,7.9,435.8,10027602,494636,106.4,6967861,328322,5,922320,15.7,0.00974460294694584,0.047772937138909184,IT,9.773,45.6127
